date,kor_title,eng_title,grammar,grammar_desc
20171227,성격이 활발해요.,She is outgoing.,N이/가 Vst여요.(Vst여요?),"It is used to describe the state or action of a subject. '-여요' is an informal polite ending suffix attached to the action or descriptive verb stem ending in '-하다'. '-해요' is the abbreviation for '-하여요'. It can be used in a declarative, interrogative, imperative or suggestion sentence."
20171228,여자 친구는 학생이에요.,My girlfriend is a student.,N은/는,It is used to compare something with a preceding noun.
20171229,제 여자 친구는 키가 커요.,My girlfriend is tall.,N은/는 N이/가 DVst어요/아요/여요.,"'DVst' is a verb stem of the basic form of the descriptive verb without '-다' (e.g. 넓다-넓, 싸다-싸). It is similar to 'N의 N이/가 DVst어요/아요/여요.' in meaning. When the noun in front of '의' is the topic or theme of the sentence, '은/는' is used instead of '의'."
20171230,우빈 씨는 여자 친구를 자주 만나요?,"Mr. Woobin, do you meet your girlfriend often?",N은/는 N을/를 AVst어요/아요/여요.,"'AVst' is a verb stem of the basic form of the action verb without '-다' (e.g. 먹다-먹, 보다-보). '을/를' is used to show that the noun is the object of the sentence. It can be omitted depending on the context."
20180101,보통 커피숍에서 책을 읽어요.,I usually read books at coffee shops.,N에서 N을/를 AVst어요/아요/여요.,'에서' is used with a place noun to indicate the place where the action is taking place.
20180102,우빈 씨는 무슨 영화를 좋아해요?,"Mr. Woobin, what movies do you like?",무슨 N__?,'무슨' is used in front of a noun to ask a question about the sort of the noun.
20180103,저는 운동을 배우고 싶어요.,I want to learn sports.,Avst고 싶어요.,It is used to express a certain action that a speaker desires to do. It is also used to ask the listener what he/she wants to do (e.g. 무엇을 먹고 싶어요? (What do you want to eat?))
20180104,유양 씨가 테니스를 배우고 싶어 해요.,Yooyang wants to learn tennis.,Avst고 싶어 해요.,It is used to express a certain action that a third person desires or wishes for.
20180105,여행을 자주 하지 않아요.,I don't travel often.,Vst지 않아요.,It is the negation form of 'Vst어요/아요/여요.'.
20180106,저는 클래식 음악을 안 좋아해요.,I don't like classical music.,안 Vst어요/아요/여요.,It is the short form for 'Vst지 않아요'.
20180108,오전 열 시 삼십 분이에요.,It's 10:30 am.,N시 N분,
20180109,보통 11시에 자요.,I usually go to bed at eleven.,N에²,It is used to indicate time when an action or situation takes place.
20180110,수영장에 가요.,I am going to the swimming pool.,N에³ 가다/오다/다니다,"N is the noun for destination when it is used with '가다, 오다, 다니다'."
20180111,9시부터 수업이 있어요.,I have a class at nine.,N부터¹,'부터' is used to denote the beginning point.
20180112,오후 4시까지 수업이 있어요.,I have classes until 4:00 pm.,N까지¹,'까지' is used to denote the end of any range.
20180113,몇 시까지 출근해요?,By what time do you go to work?,N까지²,'까지' is used to denote a limit or a point in time when a certain action needs to end.
20180115,같이 저녁을 먹을까요?,Shall we have dinner together?,AVst을까요/ㄹ까요?¹,"It is used to express suggestion to the listener of doing things together. When the verb stem ends in a consonant, use '-을까요.' and when it ends in a vowel, use  ' -ㄹ까요.' The subject in this sentence is '우리' and can be omitted."
20180116,어디에서 식사를 할까요?,Where shall we eat?,"어디에서(언제, 무슨 N을/를...) AVst을까요/ㄹ까요?","AVst을까요/ㄹ까요?' can be used with interrogative such as 언제, 어디, 무슨 N."
20180117,오랜만에 중국 음식을 먹읍시다.,Let's eat Chinese food. It's been a while since we ate Chinese.,AVst읍시다/ㅂ시다.,"It is used to make a suggestion to the listener of doing things together or to accept the listener's request. When the action verb stem ends in a vowel, use '-ㅂ시다', and when the action verb stem ends in a consonant, use '-읍시다'."
20180118,돼지갈비랑 냉면이 맛있어요.,Dwaejigalbi (barbecue pork rib) and naengmyun (cold noodles) are good.,N이랑/랑¹,"It is used with a noun to list more than two nouns. It is similar to 'N하고' in meaning, and it is usually used in conversation. When the noun ends in a consonant, use '이랑', and when the noun ends in a vowel, use '랑'. "
20180119,여기 돼지갈비 2인분하고 냉면 주세요.,Please give us two orders of dwaejigalbi (barbecue pork rib) and one naengmyun (cold noodles).,Avst으세요/세요.,"It is used to command or suggest something of the listener with respect. When the action verb stem ends in a consonant, use '-으세요', and when the action verb stem ends in a vowel, use '-세요'."
20180120,그럼 돈가스나 치킨을 먹을까요?,"Then, shall we eat pork cutlet or chicken?",N이나/나¹,"It is used to indicate that only one of the listed items is selected. When the noun ends in a consonant, use '이나', and when the noun ends in a vowel, use '나'."
20180122,집에서 회사까지 얼마나 걸려요?,How long does it take from your house to your company?,N에서² N까지³,'에서' indicates the starting point and '까지' indicates the arrival point.
20180123,서울역으로 갑시다.,Let's go to Seoul Station.,N으로/로¹ 가다(오다),"'으로/로' is used with action verbs like '가다 (go), 오다 (come)', and it indicates that the place noun preceding '으로/로' is the destination. When the noun ends in a consonant, use '으로', and when the noun ends in a vowel, use '로'. Especially when the noun ends in 'ㄹ', use '로'. (e.g. 사무실로 (o), 사무실으로 (x) (to the office))"
20180124,지하철로 갑시다.,Let's take the subway.,N으로/로²,
20180125,저는 운전을 하지 못해요.,I cannot drive.,AVst지 못해요.,It is used to indicates that there is no ability or cannot do  anything.
20180126,버스로 가지 맙시다.,Let's not take the bus.,AVst지 맙시다.,It is the negation of 'AVst읍시다/ㅂ시다'.
20180127,어른 표 1장과 어린이 표 1장 주세요.,Please give me one adult ticket and one child ticket.,N와/과¹,"It is used to list and link nouns and it is similar to 'N하고' or 'N이랑/랑' in meaning. It is often used in written language. When the noun ends in a vowel, use '와', and when the noun ends in a consonant, use '과'."
20180129,저는 파티에 못 가요.,I cannot go to the party.,못 Avst어요/아요/여요.,It is the short form for 'AVst지 못해요.'
20180130,빵집에 케이크를 사러 가요.,I am going to the bakery to buy a cake.,N에 AVst으러/러 가요.,"It is used in front of action verbs such as '가다 (go), 오다 (come)' to indicate the purpose of moving. When the action verb stem ends in a vowel, use '-러', and when the action verb stem ends in a consonant, use '-으러'."
20180131,제가 과일과 음료수를 살까요?,Shall I buy some fruit and drinks?,제가 AVst을까요/ㄹ까요?²,It is used to ask the listener how he/she thinks about the speaker's action.
20180201,잊지 마세요.,Don't forget.,AVst지 마세요.,It is the negation of  '-AVst으세요/세요'.
20180202,제 선물입니다.,It's a gift from me.,N입니다.,It is the formal expression of 'N이에요/예요'.
20180203,유양 씨 생일 파티가 오늘입니까?,Is Ms. Yooyang's birthday party today?,N입니까?,It is the interrogative form of 'N입니다'.
20180205,홍차가 아닙니다.,It's not black tea.,N이/가 아닙니다.,It is the formal expression of 'N이/가 아니에요'.
20180206,배가 고픕니다.,I'm hungry.,Vst습니다/ㅂ니다.,"It is the formal expression of 'Vst어요/아요/여요'. When the verb stem ends in a vowel, use '-ㅂ니다', and when the verb stem ends in a consonant, use '-습니다'"
20180207,맛이 어떻습니까?,How does it taste?,Vst습니까/ㅂ니까?,It is the interrogative form of 'Vst습니다/ㅂ니다'.
20180208,생선은 자주 먹지 않습니다.,I don't eat fish often.,Vst지 않습니다.,It is the negation of 'Vst습니다/ㅂ니다'.
20180209,저희 아버지께서 짜장면을 좋아하십니다.,My father likes jajangmyun (black noodles).,N께서 Vst으십니다/십니다.,"'-으십니다/십니다' is the honorific suffix for the subject of the sentence.  When the verb stem ends in a vowel, use '-십니다', and when the verb stem ends in a consonant, use '-으십니다'. '이십니다' is used after the noun. '께서' is attached to express repect for the subject. '으십니다/십니다' is a formal expression of '-으세요/세요.' '이십니다' is a formal expression of '이세요'."
20180210,무슨 차를 좋아하십니까?,What kind of tea do you like?,Vst으십니까/십니까?,"It is used to formally ask something of listener with respect. When the verb stem ends in a vowel, use '-십니까', and when the verb stem ends in a consonant, use '-으십니까'. When the noun comes, use '이십니까'. '-으십니까/십니까' is a formal expression of '-으세요/세요', and '이십니까' is a formal expression of '이세요'."
20180212,우빈 씨가 자료를 준비하십시오.,"Mr. Woobin, please prepare the material.",AVst으십시오/십시오.,It is used to command or suggest something of the listener with respect. 'AVst으세요/세요' is a unformal expression. 'AVst지 마십시오.' is negation form.
20180213,회의에서 김 부장님께서 발표하십니까?,Is Kim Bujangnim going to make a presentation at the meeting?,N께서 Vst으십니까/십니까?,It is the interrogative form with respect for the subject of the sentence.
20180214,다 만들었습니다.,I have finished preparing the material.,Vst었어요/았어요/였어요.,"It is used to indicate that the condtion has already occurred. When the verb stem ends in a '-하다', use '-였어요', and when the verb stem ends in a 'ㅏ,ㅑ,ㅗ', use '-았어요'. When the verb stem ends in other vowels, use '-었어요'. When the noun ends in a vowel, use '였어요', and when the noun ends in a consonant, use '이었어요.'                                                            '-었습니다/았습니다/였습니다', '이었습니다/였습니다' are the formal expressions."
20180215,저희 팀원들과 같이 디자인을 했습니다.,I designed it together with my team members.,"N와/과², N하고², N이랑/랑²",It is used to denote with whom the subject of the sentence is doing something. 
20180216,제가 이따가 예약하겠습니다.,I will make a reservation later.,제가 Avst겠습니다.,It is used to indicate the will or intention of the speaker for the future.
20180217,누가 발표를 하시겠어요?,Who will make a presentation?,AVst으시겠어요/시겠어요?,"It is used to ask the will or intention of the listener for the future with respect. When the verb stem ends in a vowel, use '-시겠어요', and when the verb stem ends in a consonant, use '-으시겠어요'."
20180219,여자 친구에게 향수를 선물하고 싶어요.,I would like to buy my girlfriend perfume as a gift.,N에게,It is attached to a noun for people or animals to show that the noun is the object of the action. Use '에' for things.
20180220,어머니께 드리고 싶어요.,I want to get one for my mother.,N께¹ 드리다,"'께' is attached to a noun for honorific instead of '에게', and change '주다' into '드리다'. To make proper honorific, use '인사를 드리다' instead of '인사를 하다 (say hello)', and also use '전화를 드리다.' instead of '전화를 하다 (make a phone call)'"
20180221,친구에게서 받았어요.,I received them from my friend.,N에게서,It is attached to a noun for people or animals to show  the beginning point of an action. '에게' is a short form for '에게서' and '한테서(한테)' can be used in coversation.
20180222,할머니께 입학 선물을 받았어요.,My mother gavie it to me as a gift to celebrate my acceptance to the school.,N께,It is used instead of '에게서' for honorific.
20180223,고향에서 왔어요.,They are from my hometown.,N에서³,It is used with nouns except people or animals to indicate the source of a certain action.
20180224,아버지께서 주셨어요.,My father gave it to me.,N께서 주시다,'께서 주시다.' is used instead of '이/가 주다' for honorific of subject.
20180226,저쪽에 자전거를 빌리는 곳이 있어요.,There is a bike rental shop over there.,AVst는,"It is attached to an action verb stem or '있다', '없다' verb stem to modify a noun that follows. It shows present tense."
20180227,한강에 예쁜 꽃이 피었어요.,Beautiful flowers bloom in the Han River.,DVst은/ㄴ,"It is attached to a state verb stem to modify a noun that follows. When the state verb stem ends in a vowel, use '-ㄴ', and when the state verb stem ends in a consonant, use '-은'."
20180228,오늘 저녁에 탈 유람선 표예요.,It's the ferry ticket for tonight.,AVst을/ㄹ,"It is attached to an action verb stem to modify a noun that follows. It shows future tense. When the action verb stem ends in a vowel, use '-ㄹ', and when the action verb stem ends in a consonant, use '-을'."
20180301,어제 본 야경이 계속 생각나요.,I keep thinking about the night view I saw yesterday.,AVst은/ㄴ,"It is attached to an action verb stem to modify a noun that follows. It shows past tense.  When the action verb stem ends in a vowel, use '-ㄴ', and when the action verb stem ends in a consonant, use '-은'."
20180302,오늘 한강에 사람이 정말 많군요.,There are a lot of people at the Han River today.,Vst는군요/군요.,"It is used to marvel the fact newly learned. When the state verb stem comes, use '-군요', and when the action verb stem comes, use '-군요'. And when the noun comes, use '이군요'."
20180303,저는 콜라보다 주스를 더 좋아해요.,I like juice more than coke.,N보다,It is used to indicate the comparison target.
20180305,집들이를 할 거예요.,I'm going to have a housewarming party.,AVst을/ㄹ 거예요.¹,"It is used to express a plan or intention. When the action verb stem ends in a consonant, use '-을 거예요', and when the action verb stem ends in a vowel, use '-ㄹ 거예요'."
20180306,꼭 갈게요.,I will definitely come.,제가 AVst을게요/ㄹ게요.,"It is used to indicate the speaker's intention or promise for the future. When the verb stem ends in a consonant, use '-을게요', and when the verb ends in vowel, use '-ㄹ게요'."
20180307,저는 매운 음식을 잘 먹지만 친구들은 매운 음식을 잘 못 먹어요.,"I can eat spicy food, but my friends cannot.",Vst지만,"It is used when the content of the beginning of the sentence is contrary to that of the latter content of the sentence. When the action verb or state verb comes, use '-지만', and when the noun comes use '이지만'."
20180308,아마 친구도 그 선물을 좋아할 거예요.,"Maybe, my friend will like the present.",Vst을/ㄹ 거예요.² ,"It is used to indicate the speculation. When the action verb stem or the descriptive verb stem ends in a consonant, use '-을 거예요', and when the action verb stem or the descriptive verb stem ends in a vowel, use '-ㄹ 거예요'. When the noun comes, use '일 거예요.'"
20180309,오늘 집들이에 초대한 친구들이 다 올까요?,Will all of my friends that I invited come to the housewarming party today?,Vst을까요/ㄹ까요?³,"It is used when the speaker asks something with speculation. When the action verb stem or the descriptive verb stem ends in a consonant, use '-을까요', and when the action verb stem or the descriptive verb stem ends in a vowel, use '-ㄹ까요'. When the noun comes, use '일까요'."
20180310,집이 깨끗하고 밝았어요.,The house was clean and bright.,Vst고¹,"It is used to link more than two actions, conditions or facts. Use '-고' after the action verb or state verb, and use '이고' after the noun."
20180312,혼자 살아서 좀 외로워요.,I feel a bit lonely as I live alone.,Vst어서/아서/여서¹,"It is used to denote that the former clause is the reason of the latter clause. When the verb stem ends in a 'ㅏ,ㅑ,ㅗ', use '-아서', and when ends in a '-하다' use '-여서'. When the verb stem ends in other vowels except 'ㅏ,ㅑ,ㅗ', use '어서'. When the noun ends in a vowel, use '-여서', and when the noun ends in a consonant, use '이어서'."
20180313,저는 수업이 끝나고 아르바이트를 해요.,I have a part-time job after class.,AVst고²,It is used to link more than two actions in order in which they occurred.
20180314,우리 학교 근처는 집값이 비싸지 않아요?,Isn't a house near our school expensive?,Vst지 않아요?,It is used to make sure about the information or the fact which the speaker's already knew to the listener.
20180315,그럼 이번 주말에 만나서 같이 공부해요.,"Then, let's meet this weekend to study together.",AVst어서/아서/여서²,It is used to link the actions in order in which they occurred. '-어서/아서/여서' is used when the relation of the preceding and following actions is close (e.g. 친구를 만나서 영화를 봤어요.→ I met my friend and then watched a movie with him or her.). '-고' is used when the relation of the two actions is not closely linked (e.g. 친구를 만나고 영화를 봤어요.→ I watched a movie after my friend left.)
20180316,일주일 후에 갈 거예요.,I'm going back in a week.,N 후에,It is used to show that something happens after the noun.
20180317,여행을 한 후에 고향에 돌아갈 거예요.,I'm going back to my hometown after I travel around.,AVst은/ㄴ 후에,It is used to show that something happens after the verb.
20180319,그 가수의 콘서트는 인기가 많으니까 빨리 예매합시다.,"That singer's concert is really popular, so let's hurry and book the tickets.",Vst으니까/니까¹ AVst읍시다/ㅂ시다.,"It is used to show that the former clause is the reason for the judgment expressed in the latter clause of the sentence for suggestion. When the verb stem ends in a consonant, use '-으니까', when ends in a vowel, use '-니까'. When the noun comes, use '이니까'."
20180320,공연이 곧 시작되니까 빨리 오세요.,The performance is about to begin. So please come quickly.,Vst으니까/니까 AVst으세요/세요.,It is used to show that the former clause is the reason for the judgment expressed in the latter clause of the sentence for command.
20180321,저도 10분 전에 왔어요.,I got here ten minutes ago.,N 전에,It is used to show that something happens before the noun.
20180322,저 가수 노래 정말 잘하지요?,"That singer sings really well, doesn't he?",Vst지요?,"It is used to confirm the information or the fact that the speaker already knew with confidence. Use '-지요' after the verb stem, and use '이지요' after the noun."
20180323,콘서트에 오기 전에 많이 들었어요.,I listened to them a lot before I came to the concert.,AVst기 전에,It is used to show that another thing happens before something happens.
20180324,다음 콘서트에 가면 꼭 사인을 받을 거예요.,I will definitely get his signature when I go to his next concert.,Vst으면/면,"It is used to show that the former clause is the condition  or assumption in the latter clause of the sentence. When the verb stem ends in a consonant, use '-으면', when ends in a vowel, use ' -면'. Use '이면' after the noun."
20180326,거기 피자집 아니에요?,Isn't it a pizza house?,N 아니에요?,It is used to confirm what the speaker knows or guesses to the listener.
20180327,서연 씨한테 한번 물어보세요.,Why don't you ask Ms. Seoyon?,N한테,It is the colloquial expression for '에게'.
20180328,지금 적을 수 있어요?,Can you write it down now?,AVst을/ㄹ 수 있다,"It is used to express that there is an ability or possibility to do something. When the verb stem ends in a consonant, use '-을 수 있다', when it ends in a vowel, use ' -ㄹ 수 있다'."
20180329,계속 통화 중이에요.,The line remains busy.,N 중이다,"It is used to indicate that something is going on, and not finished."
20180330,지금은 제가 전화를 받을 수 없어요.,I can't speak on the phone right now.,AVst을/ㄹ 수 없다,It is used to express that there is no ability or possibility to do anything.
20180331,급한 일이 아니니까 나중에 다시 걸게요.,"It's not urgent, so I will call later.",Vst으니까/니까 AVst을게요/ㄹ게요.,It is used to show that the former clause is the reason for what the speaker will do in the latter clause of the sentence.
20180402,골프를 칠 줄 알아요.,I know how to play golf.,AVst을/ㄹ 줄¹ 알아요.,It is used to indicate the ability of doing something by knowing how.
20180403,저는 인라인스케이트를 탈 줄 몰라요.,I don't know how to inline skate.,AVst을/ㄹ 줄 몰라요.,It is used to indicate the inability of doing something by not knowing how.
20180404,제 것으로 칩시다.,Let's play with mine.,N으로/로³,A noun before ‘으로/로’ indicates a means or a method.
20180405,야구 선수가 되고 싶었어요.,I wanted to become a baseball player.,N이/가³ 되다,It is used to indicate that the preceding noun turns into the latter noun.
20180406,일이 있어서 우리 형만 못 가요.,Only my elder brother can't go because he has work to do.,N만,"It is used to indicate a limitation to its preceding noun. When a noun ends in ‘이/가’ or ‘을/를’, use ‘만’ after omitting '이/가' or '을/를'. When a noun ends in other particles, add ‘만’ without omitting the particles (e.g. 에만, 에서만, 하고만…)"
20180407,하루에 한 시간쯤 해요.,I do for about an hour a day.,N에⁴ N,It is used to indicate the noun attached to it is a measuring basis for price or calculation.
20180409,방학이 기네요.,The vacation is long.,Vst네요.,It is used to inform listeners of the fact or the feeling that the speaker has newly learned at the time of speaking.
20180410,휴가 때 뭐 할 거예요?,What are you going to do during the holidays?,N 때,It is used to indicate the time during which a thing or an event in the latter clause occurs.
20180411,같이 갈래요?,Shall we go together?,같이 AVst을래요/ㄹ래요?,"It is usually used in close relationship to express suggestion to the listener of doing things together or asking opinion. When the action verb stem ends in a consonant, use ‘-을래요’, and when it ends in a vowel, use ‘-ㄹ래요’."
20180412,기차역으로 바로 오실래요?,Would you like to come directly to the train station?,AVst으실래요/실래요?²,It is usually used in close relationship to ask the listener's intention to do an action with slight respect. 
20180413,가까운 섬으로 가려고 해요.,I are going to go to a nearby island.,AVst으려고/려고 해요.,"It is used to express a plan or intention to do a certain action of the first person subject. When the active verb stem ends in a consonant, use ‘-으려고 해요’, and when it ends in a vowel, use ‘-려고 해요’."
20180414,저는 안 가려고 해요.,I am not going though.,안 AVst으려고/려고 해요.,It is used to express an intention not to do something when the subject is the first person. It is the short form for ‘AVst지 않으려고 해요’.
20180416,친구가 준 선물인데 아주 마음에 들어요.,It is a gift from my friend and I like it a lot.,N인데¹,It is used to first introduce or present the noun in the preceding and then add explanation in the latter clause about the preceding noun.
20180417,헤어질 때 울었어요?,Did you cry when you were separated?,Vst을/ㄹ 때,It is used to indicate the event in the latter clause occurs at the same time with the event in the preceding clause.
20180418,프랑스에 여행을 갔을 때 찍은 사진이에요.,It is a picture that I took when I went on a trip to France.,Vst었을/았을/였을 때,It is used to indicate the event in the latter clause occurs when the event in the preceding clause is completed.
20180419,제가 집에 가는데 저를 따라왔어요.,I was on my way home and it followed me.,AVst는데,It is used to add more detail explanation in the latter clause about the act in the preceding clause.
20180420,귀걸이가 떨어졌는데 안 보여요.,"I dropped my earring, but I can't find it.",AVst었는데/았는데/였는데,It is used to give more detail explanation about the act in the preceding clause that was done in the past.
20180421,제 손바닥에 사인을 해 줬어요.,He signed his signature on my palm.,AVst어/아/여 주다,It is used to do something for others.
20180423,길 좀 가르쳐 주시겠어요?,Would you please show me the way?,AVst어/아/여 주시겠어요?,It is used to ask politely if the listener is willing to do something for the speaker.
20180424,우리 강아지 좀 돌봐 줄 수 있어요?,Can you take care of my puppy?,AVst어/아/여 줄 수 있어요?,It is used to ask if it is possible for the listener to do something for the speaker.
20180425,집까지 태워 주셔서 고맙습니다.,Thank you for giving me a ride home.,AVst어/아/여 주셔서 고맙습니다(감사합니다).,It is used to express the speaker’s appreciation for the way the listener has done for the speaker.
20180426,제가 전해 드릴게요.,I'll give it to her.,AVst어/아/여 드릴게요.,It is used to indicate the speaker's promises that the speaker would do something for the listener with respect.
20180427,제가 짐을 옮겨 드릴까요?,Do you want me to move your stuff?,AVst어/아/여 드릴까요?,It is used to politely ask the listener’s intention or opinion about the action the speaker would do for the listener.
20180428,저는 서비스 센터에 맡기려고 했어요.,I was going to leave it at the service center.,AVst으려고/려고 했어요.,It is used to indicate the speaker had an intention to do something in the past.
20180430,방이 너무 더러워서 청소를 하고 있어요.,"The room is so messy, so I an cleaning it.",AVst고 있다¹,It is used to indicate that a certain action is progressive and ongoing.
20180501,저쪽에 있는 장갑을 끼고 설거지를 하세요.,"Please put on gloves over there. With gloves on, please wash the dishes.",AVst고³,It is used to indicate that the action in the latter clause takes place while maintaining the completed action of the preceding clause.
20180502,저는 청소기를 쓰지 않고 직접 쓸고 닦아요.,I personally sweep and mop without using a vacuum cleaner.,Vst지 않고,"It is used to negate the contents in the preceding clause but, instead, to list the contents of the latter clause. The short form is ‘안 Vst고’."
20180503,왜 앞치마를 하고 있어요?,Why are you wearing an apron?,AVst고 있다²,It is used to indicate the completed status of an action still continues to the present time.
20180504,지금 뭐 하고 계세요?,What are you doing now?,AVst고 계시다,It is a subject honorific expression for ‘Avst고 있다’. 
20180505,집안일 중에서 뭐가 제일 귀찮아요?,"Among household chores, what is the most bothersome?",N 중에서 _________ 제일 ___________,It is used to indicate the best or the worst quality in the category of nouns.
20180507,우리 동호회에서 누가 제일 마음에 들어요?,Who do you like most in our club?,N에서⁴ _________ 제일 ____________,"It is used to indicate the best or the worst quality in the entire group or a whole range of nouns. Use ‘에서’, not ‘중에서’."
20180508,영화 감상인 것 같아요.,It seems to be watching movies.,N인 것 같다,It is used to express uncertainty concerning the noun.
20180509,서연 씨는 회사 일이 많은 것 같아요.,It seems that Ms. Seoyon has a lot of work at her company.,DVst은/ㄴ 것 같다,It is used to express uncertainty concerning a certain state.
20180510,서연 씨도 스티브 씨를 좋아하는 것 같아요?,"Do you think Ms. Seoyon also likes you, Mr. Steve?",AVst는 것 같다,It is used to express uncertainty concerning the present act.
20180511,서연 씨는 영문학을 전공한 것 같아요.,It seems that Ms. Seoyon majored in English literature.,AVst은/ㄴ 것 같다,It is used to express uncertainty concerning a certain act that the speaker believes has completed.
20180512,인형은 싫어할 것 같아요.,I guess she would not like a stuffed animal.,Vst을/ㄹ 것 같다,"It is used to simply guess about things before confirming the facts. When it is a noun, use ‘N일 것 같다’. ‘-었을/았을/였을 것 같다’ is used to simply guess about things in the past."
20180514,야식도 자주 먹고요.,I also eat late night snack often.,Vst고요.,"It is used to add more contents to the preceding sentence. When the noun comes before, ‘도’ is added."
20180515,스트레스 때문에 잠을 못 자는 것 같아요.,It seems that I don't sleep well because of stress.,N 때문에,It is used to indicate the preceding noun is the cause or reason of the latter clause. It cannot be used in an imperative nor suggestion sentence.
20180516,요즘 환절기이기 때문에 감기에 걸린 사람이 많아요.,There are many people who have caught a cold because of the seasonal change these days.,N이기 때문에,It is used to indicate that the characteristic of a noun in a preceding clause is the cause or reason of the latter clause. It cannot be used in an imperative nor suggestion sentence.
